,customer_id,LOCATION_NUMBER,VENDOR
0,92PEE24,0,105 105 105
1,QS68UD8,0,294
2,MB7VY5F,0,83 83 83 83
3,KDJ951Y,0,90
4,BAL0RVT,0,83 83 83
5,U263OCD,0,83
6,I9DNSMJ,0,105 105 43 43 43 105 43 83 105 105 105 43 105 105 83 43 105 105 105 43 43 105
7,QYXXJCF,0,78
8,52ZNRWH,0,83
9,QQEWRHI,0,83 83 105 105 105 304 304 105 85 105 105 105
10,DRR8CO9,0,154 154 83
11,VJP7GIV,0,193 83 193 193 193 83
12,6SJOL5B,0,193 193 193 193
13,1HCWZ0H,0,83 83 83 83 83 83 83 83 83 83
14,G1MZ1IT,0,83 83 83 83
15,V27UTM4,0,78 78 78
16,0UW9NTR,0,78 259 78 66 66 113 78 66 78 66 78 66 78 66 113 78 66 66 78 66 66 66 28 78
17,TBOTOCJ,0,4 195 4 188 195 195
18,O7Q0U3M,0,78
19,B6Y7ZKT,0,288 113 113
20,ES0KDB7,0,78 225 28 115
21,CLNV54D,0,85 83 83 391 391 391 391 85 83 83 83 85 83 391 391 391
22,7SU8OE1,0,83
23,IU4IHX1,0,195 104 78 104 78 78 195 78 78 104 104 195 195 78 78 78 78 78 78 78 78 104 78 104
24,96979ZR,0,78 78 195 78 78 78
25,N41VQEP,0,161 161 161 161 161 161 196 161 161 161 161 161 161 161 161 161 161
26,IZ17PI0,0,196 196 196 161 196 196 196 196 196 196 196 196 196 196 196 196 196 196 161 196
27,SKXXU3W,0,75 110 192 110 110 110 110 134
28,KYFPWWC,0,20 20 134 20 20 20 23 20 23 20 4
29,L1LYPLK,0,221 104 221 300 221 221 221 221 221 221 192 221 221 192 192 221
30,KWGMDMP,0,195
31,NYDQ8RO,0,300 300 195 180
32,R7XBMFV,0,20 303 303 303 303 303 303 303 81 81
33,8D0F3NE,0,221 33 221 221 81 221 221 192 192 78
34,Y19T6TU,0,20
35,765LAHD,0,20 81 81 221 159 81 20 20
36,SNS7GCQ,0,20 159 4 4 20 20 20 20 159
37,NDV7DYO,0,81 81 4 4
