,customer_id,LOCATION_NUMBER,VENDOR
0,92PEE24,0,105 105 105
1,QS68UD8,0,294
6,I9DNSMJ,0,105 105 105 105 105 105 105 105 105 105 105 105
7,QYXXJCF,0,78
9,QQEWRHI,0,105 105 105 105 85 105 105 105
10,DRR8CO9,0,154 154
11,VJP7GIV,0,193 193 193 193
12,6SJOL5B,0,193 193 193 193
15,V27UTM4,0,78 78 78
16,0UW9NTR,0,78 259 78 78 78 78 78 78 78 78
17,TBOTOCJ,0,4 195 4 188 195 195
18,O7Q0U3M,0,78
19,B6Y7ZKT,0,288
20,ES0KDB7,0,78 225 115
21,CLNV54D,0,85 391 391 391 391 85 85 391 391 391
23,IU4IHX1,0,195 104 78 104 78 78 195 78 78 104 104 195 195 78 78 78 78 78 78 78 78 104 78 104
24,96979ZR,0,78 78 195 78 78 78
25,N41VQEP,0,161 161 161 161 161 161 161 161 161 161 161 161 161 161 161 161
26,IZ17PI0,0,161 161
27,SKXXU3W,0,75 110 110 110 110 110 134
28,KYFPWWC,0,134 4
29,L1LYPLK,0,221 104 221 300 221 221 221 221 221 221 221 221 221
30,KWGMDMP,0,195
31,NYDQ8RO,0,300 300 195 180
32,R7XBMFV,0,303 303 303 303 303 303 303 81 81
33,8D0F3NE,0,221 33 221 221 81 221 221 78
35,765LAHD,0,81 81 221 81
36,SNS7GCQ,0,4 4
37,NDV7DYO,0,81 81 4 4
38,WSVG6Y9,0,75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75
39,MYPR8IK,0,300 300 300
40,9M9LHRY,0,195 195 195 195 195 75 195 195 195 195
41,UINGJGR,0,180 180 180 180 180 195 180 180
42,5XOVBAT,0,75 75 75 75 195 78 195 75 157 195 75 75 195 195 75 75 195 75 75 75
43,3ISHF8M,0,303 75 134 303 75 265 75 75 104 195
44,KHL0M3N,0,294 85
45,R4TW4EP,0,75 75 75 75 75 75 75 75 75 75 75 75
46,TL7Z2DM,0,75 75 75 75 75 78 75 75 75 78 75 75 207 75 75 75 207 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75 75
